# Risultati internazionali REALI tra le 48 nazionali del Mondiale 2026 (dal 2024-01-01).
# Fonte: dataset pubblico 'martj42/international_results' (GitHub), risultati verificabili.
# Usato per il backtest di ACCURATEZZA del modello (NON servono quote).
date,home,away,home_score,away_score,neutral
2024-01-05,Qatar,Giordania,1,2,false
2024-01-06,Iraq,Corea del Sud,0,1,true
2024-01-09,Giappone,Giordania,6,1,true
2024-01-10,Tunisia,Capo Verde,2,0,false
2024-01-14,Ghana,Capo Verde,1,2,true
2024-01-18,Egitto,Ghana,2,2,true
2024-01-19,Iraq,Giappone,2,1,true
2024-01-20,Giordania,Corea del Sud,2,2,true
2024-01-21,Marocco,Congo DR,1,1,true
2024-01-22,Capo Verde,Egitto,2,2,true
2024-01-23,Australia,Uzbekistan,1,1,true
2024-01-24,Sudafrica,Tunisia,0,0,true
2024-01-28,Egitto,Congo DR,1,1,true
2024-01-29,Costa d'Avorio,Senegal,1,1,false
2024-01-29,Iraq,Giordania,2,3,true
2024-01-30,Arabia Saudita,Corea del Sud,1,1,true
2024-01-30,Marocco,Sudafrica,0,2,true
2024-02-02,Australia,Corea del Sud,1,2,true
2024-02-03,Capo Verde,Sudafrica,0,0,true
2024-02-03,Iran,Giappone,2,1,true
2024-02-03,Qatar,Uzbekistan,1,1,false
2024-02-06,Giordania,Corea del Sud,2,0,true
2024-02-07,Costa d'Avorio,Congo DR,1,0,false
2024-02-07,Qatar,Iran,3,2,false
2024-02-10,Qatar,Giordania,3,1,false
2024-02-10,Sudafrica,Congo DR,0,0,true
2024-03-21,Panama,Messico,0,3,true
2024-03-21,Portogallo,Svezia,5,2,false
2024-03-22,Egitto,Nuova Zelanda,1,0,false
2024-03-22,Norvegia,Cechia,1,2,false
2024-03-22,Olanda,Scozia,4,0,false
2024-03-22,Spagna,Colombia,0,1,true
2024-03-23,Francia,Germania,0,2,false
2024-03-23,Inghilterra,Brasile,0,1,false
2024-03-23,Tunisia,Croazia,0,0,true
2024-03-24,USA,Messico,2,0,false
2024-03-26,Algeria,Sudafrica,3,3,false
2024-03-26,Austria,Turchia,6,1,false
2024-03-26,Costa d'Avorio,Uruguay,2,1,true
2024-03-26,Egitto,Croazia,2,4,false
2024-03-26,Germania,Olanda,2,1,false
2024-03-26,Inghilterra,Belgio,2,2,false
2024-03-26,Nuova Zelanda,Tunisia,0,0,true
2024-03-26,Spagna,Brasile,3,3,false
2024-06-03,Inghilterra,Bosnia-Erzegovina,3,0,false
2024-06-05,Messico,Uruguay,0,4,true
2024-06-06,Olanda,Canada,4,0,false
2024-06-06,Senegal,Congo DR,1,1,false
2024-06-08,Messico,Brasile,2,3,true
2024-06-08,Portogallo,Croazia,1,2,false
2024-06-08,Svizzera,Austria,1,1,false
2024-06-08,USA,Colombia,1,5,false
2024-06-09,Argentina,Ecuador,1,0,true
2024-06-09,Francia,Canada,0,0,false
2024-06-11,Arabia Saudita,Giordania,1,2,false
2024-06-11,Iran,Uzbekistan,0,0,false
2024-06-12,USA,Brasile,1,1,false
2024-06-14,Germania,Scozia,5,1,false
2024-06-15,Spagna,Croazia,3,0,true
2024-06-16,Panama,Paraguay,0,1,false
2024-06-17,Austria,Francia,0,1,true
2024-06-18,Portogallo,Cechia,2,1,true
2024-06-19,Scozia,Svizzera,1,1,true
2024-06-20,Argentina,Canada,2,0,true
2024-06-21,Olanda,Francia,0,0,true
